[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
| l2 = l2 + 1                                                                                         |   N   |
| goto [?= return $stack1]                                                                            |   Y   |
| l6 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l5, 4)                                    |   Y   |
| $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfinite()>()                          |   N   |
| $stack9 = virtualinvoke l3.<java.lang.String: char charAt(int)>($stack8)                            |   N   |
| return 0                                                                                            |   Y   |
| return 10                                                                                           |   Y   |
| if l1 == 1 goto return 31                                                                           |   Y   |
| if l7 >= l6 goto (branch)                                                                           |   Y   |
| $stack8 = l2 - 1                                                                                    |   N   |
| return                                                                                              |   Y   |
| return 18                                                                                           |   Y   |
| $stack15 = 0                                                                                        |   N   |
| $stack11 = virtualinvoke l1.<java.lang.String: int length()>()                                      |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| if l1 == 6 goto return 30                                                                           |   Y   |
| if l1 != 11 goto (branch)                                                                           |   Y   |
| $stack16 = staticinvoke <java.lang.Character: boolean isHighSurrogate(char)>(l7)                    |   N   |
| goto [?= $stack4 = lengthof l1]                                                                     |   Y   |
| virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>("*")                    |   N   |
| specialinvoke $stack38.<java.lang.String: void <init>(char[],int,int)>(l2, l4, $stack39)            |   N   |
| $stack45 = virtualinvoke l13#69.<java.lang.Double: java.lang.String toString()>()                   |   N   |
| l3 = l2                                                                                             |   Y   |
| return l0                                                                                           |   Y   |
| if $stack7 == 0 goto return 0                                                                       |   Y   |
| l3 = l1                                                                                             |   Y   |
| if l5 >= $stack14 goto (branch)                                                                     |   Y   |
| l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                                    |   Y   |
| $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l1)           |   Y   |
| throw $stack5                                                                                       |   Y   |
| l0#4 = dynamicinvoke "makeC...                                                                      |   Y   |
| return null                                                                                         |   N   |
| goto [?= $stack9 = new java.math.BigInteger]                                                        |   N   |
| $stack122 = staticinvoke <c...                                                                      |   N   |
| return 1                                                                                            |   N   |
| #", l1)...                                                                                          |   Y   |
| $stack3 = l0 % 400                                                                                  |   N   |
| <comp5111.assignment.cut.Subject$ArrayTasks: java.lang.String[] EMPTY_STRING_ARRAY> = $stack0       |   Y   |
| $stack42 = virtualinvoke l12#81.<java.lang.Float: float floatValue()>()                             |   N   |
| l7#20 = virtualinvoke l0.<j...                                                                      |   N   |
| $stack13 = l1[l8]                                                                                   |   Y   |
| return 1                                                                                            |   Y   |
| goto [?= l6 = l6 + 1]                                                                               |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l2)           |   Y   |
| throw $stack25                                                                                      |   Y   |
| return $stack2                                                                                      |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| $stack141 = virtualinvoke l8.<java.lang.String: int length()>()                                     |   N   |
| return $stack1                                                                                      |   N   |
| return 0                                                                                            |   N   |
| $stack39 = l8 - l4                                                                                  |   N   |
| if l1 == 10 goto return 31                                                                          |   Y   |
| l2 = virtualinvoke l0.<java.lang.String: int lastIndexOf(int)>(92)                                  |   Y   |
| $stack1 = 0                                                                                         |   Y   |
| interfaceinvoke $stack11.<java.util.List: boolean add(java.lang.Object)>($stack16)                  |   Y   |
| $stack1 = 1                                                                                         |   N   |
| if l7#20 != null goto $stack62 = new java.lang.NumberFormatException                                |   N   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                                    |   N   |
| l7#20 = null                                                                                        |   Y   |
| $stack98 = l10 + 1                                                                                  |   N   |
| l1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                                    |   Y   |
| if $stack21 != $stack22 goto l8 = l8 + 1                                                            |   N   |
| if l2 >= 10 goto virtualinv...                                                                      |   Y   |
| $stack50 = virtualinvoke l0.<java.lang.String: int lastIndexOf(java.lang.String)>("::")             |   N   |
| $stack8 = 0                                                                                         |   Y   |
| if $stack14 == 0 goto l2 = l2 + 1                                                                   |   N   |
| if l3 >= $stack5 goto return 1                                                                      |   Y   |
| $stack5 = staticinvoke <com...                                                                      |   Y   |
| $stack20 = l1 + 1                                                                                   |   N   |
| goto [?= l11 = $stack119]                                                                           |   Y   |
| return $stack15                                                                                     |   Y   |
| l1 = 1                                                                                              |   N   |
| $stack4 = virtualinvoke l0.<java.lang.String: int length()>()                                       |   Y   |
| l5 = 0                                                                                              |   Y   |
| $stack6 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()                                  |   Y   |
| l6 = l4                                                                                             |   N   |
| goto [?= (branch)]                                                                                  |   Y   |
| if l6 >= l4 goto l8 = l8 + 1                                                                        |   N   |
| $stack10 = new java.lang.IllegalArgumentException                                                   |   Y   |
| $stack82 = virtualinvoke l13#63.<java.lang.Float: float floatValue()>()                             |   N   |
| if $stack66 == 0 goto $stack62 = new java.lang.NumberFormatException                                |   N   |
| $stack60 = l2 - 1                                                                                   |   Y   |
| $stack3 = new java.lang.IllegalArgumentException                                                    |   N   |
| if l2 != $stack14 goto $stack15 = 0                                                                 |   Y   |
| goto [?= return l0#4]                                                                               |   Y   |
| return 1                                                                                            |   Y   |
| $stack5 = virtualinvoke l0.<java.lang.Object: java.lang.Class getClass()>()                         |   Y   |
| return 12                                                                                           |   Y   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| $stack106 = dynamicinvoke "...                                                                      |   N   |
| if l7 < 0 goto return 0                                                                             |   N   |
| l1 = l1 + 2                                                                                         |   N   |
| l7 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l6)                              |   Y   |
| goto [?= return $stack3]                                                                            |   Y   |
| if l1 == 0 goto $stack8 = 0                                                                         |   Y   |
| if l0 != 92 goto $stack1 = new java.lang.IllegalArgumentException                                   |   Y   |
| goto [?= $stack77 = statici...                                                                      |   N   |
| if l0 != 1 goto (branch)                                                                            |   Y   |
| l4 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)                                       |   Y   |
| return $stack67                                                                                     |   N   |
| $stack101 = l2                                                                                      |   N   |
| $stack9 = new java.math.BigInteger                                                                  |   Y   |
| if $stack119 == 0 goto $stack110 = l2                                                               |   N   |
| $stack9 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l3)                                 |   Y   |
| l3 = lengthof l1                                                                                    |   Y   |
| $stack1 = 0                                                                                         |   Y   |
| if l0 == null goto return l0                                                                        |   Y   |
| $stack12 = new java.lang.StringBuilder                                                              |   N   |
| throw $stack3                                                                                       |   N   |
| (int)>(l0)...                                                                                       |   Y   |
| if l0 != null goto $stack9 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()               |   Y   |
| return                                                                                              |   Y   |
| l1 = 0                                                                                              |   Y   |
| $stack6 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l3)                                 |   Y   |
| $stack15 = staticinvoke <co...                                                                      |   Y   |
| l1#2 = l1#2 + -1                                                                                    |   N   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| if l2 != 10 goto (branch)                                                                           |   Y   |
| goto [?= return $stack1]                                                                            |   Y   |
| goto [?= l6 = l2 - l4]                                                                              |   N   |
| if l4 <= 1 goto l3#27 = l3#27 + 1                                                                   |   Y   |
| $stack1 = new java.lang.IllegalArgumentException                                                    |   Y   |
| return -1                                                                                           |   Y   |
| throw $stack2                                                                                       |   N   |
| specialinvoke $stack12.<java.lang.StringBuilder: void <init>()>()                                   |   N   |
| if l0 > 122 goto $stack1 = 0                                                                        |   Y   |
| return 1                                                                                            |   N   |
| x", l1)...                                                                                          |   Y   |
| goto [?= l7#20 = null]                                                                              |   N   |
| $stack9 = staticinvoke <com...                                                                      |   Y   |
| $stack38 = new java.lang.String                                                                     |   N   |
| throw $stack1                                                                                       |   N   |
| if l0 == null goto return 0                                                                         |   Y   |
| l1 = virtualinvoke l0.<java.lang.String: boolean contains(java.lang.CharSequence)>("::")            |   Y   |
| l2 = l2 + -1                                                                                        |   Y   |
| $stack1 = 0                                                                                         |   Y   |
| l1 = l1 + -1                                                                                        |   N   |
| l1 = virtualinvoke l0.<java.lang.String: int lastIndexOf(int)>(47)                                  |   Y   |
| $stack1 = staticinvoke <java.lang.Long: java.lang.Long decode(java.lang.String)>(l0)                |   Y   |
| return                                                                                              |   Y   |
| if l1 == 7 goto return 31                                                                           |   Y   |
| goto [?= return $stack1]                                                                            |   Y   |
| goto [?= (branch)]                                                                                  |   Y   |
| $stack71 = staticinvoke <co...                                                                      |   N   |
| return $stack54                                                                                     |   N   |
| return $stack2                                                                                      |   Y   |
| l5 = l3 - 1                                                                                         |   Y   |
| l6 = l3 + $stack10                                                                                  |   Y   |
| specialinvoke $stack11.<java.util.ArrayList: void <init>()>()                                       |   N   |
| return $stack5                                                                                      |   Y   |
| return 0                                                                                            |   N   |
| return $stack16                                                                                     |   N   |
| $stack11 = l2 - 1                                                                                   |   N   |
| if $stack24 == 0 goto $stack19 = virtualinvoke l6.<java.lang.String: int length()>()                |   Y   |
| if l4 >= 0 goto (branch)                                                                            |   Y   |
| goto [?= $stack5 = virtualinvoke l0.<java.lang.String: int length()>()]                             |   N   |
| return $stack1                                                                                      |   Y   |
| $stack1 = 1                                                                                         |   Y   |
| $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(1, l1)           |   N   |
| $stack124 = staticinvoke <c...                                                                      |   N   |
| nt)>(l4)...                                                                                         |   Y   |
| return $stack7                                                                                      |   Y   |
| return $stack15                                                                                     |   Y   |
| return 0                                                                                            |   N   |
| $stack26 = virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.String toString()>()          |   N   |
| $stack49 = virtualinvoke l0.<java.lang.String: int indexOf(java.lang.String)>("::")                 |   N   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| $stack88 = new java.lang.NumberFormatException                                                      |   Y   |
| $stack90 = l2 - 1                                                                                   |   N   |
| $stack41 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>("::")            |   N   |
| return $stack8                                                                                      |   Y   |
| $stack4 = virtualinvoke $stack1.<java.lang.String: java.lang.String substring(int)>($stack3)        |   Y   |
| if l2 <= 1 goto (branch)                                                                            |   Y   |
| $stack10 = virtualinvoke l1.<java.lang.String: int length()>()                                      |   Y   |
| $stack16[2] = "#"                                                                                   |   Y   |
| $stack55 = l2 - 1                                                                                   |   N   |
| $stack66 = staticinvoke <co...                                                                      |   N   |
| return $stack5                                                                                      |   Y   |
| $stack145 = 0                                                                                       |   Y   |
| if l1 == 0 goto $stack15 = 0                                                                        |   Y   |
| return l12#81                                                                                       |   N   |
| if l0 != null goto $stack1 ...                                                                      |   Y   |
| l2 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l1#2)                                    |   Y   |
| return 0                                                                                            |   Y   |
| $stack9 = staticinvoke <com...                                                                      |   Y   |
