[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
| Source: if $stack4 == $stack5 goto $stack6 = l0 instanceof java.lang.String                         |   Y   |
|   Target: $stack6 = l0 instanceof java.lang.String                                                  |       |
| Source: if $stack12 == 0 goto l4 = l4 + 1                                                           |   Y   |
|   Target: l4 = l4 + 1                                                                               |       |
| Source: if l7 != 2 goto $stack25 = new java.lang.String                                             |   Y   |
|   Target: if l5 != 1 goto $stack25 = new java.lang.String                                           |       |
| Source: if l8 != l5 goto (branch)                                                                   |   N   |
|   Target: if l6 >= l3 goto l8 = l8 + 1                                                              |       |
| Source: if $stack46 == 0 goto $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfin... |   N   |
|   Target: $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfinite()>()                |       |
| Source: if $stack4 == $stack5 goto $stack6 = l0 instanceof java.lang.String                         |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l7#20 != null goto l12#81 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks... |   N   |
|   Target: if l8 != null goto l12#81 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks...  |       |
| Source: if l4 >= 0 goto (branch)                                                                    |   Y   |
|   Target: if l1 > 2 goto l6 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l5, 4)           |       |
| Source: if $stack1 < 0 goto return l0                                                               |   Y   |
|   Target: return l0                                                                                 |       |
| Source: if l10 >= $stack55 goto l8 = null                                                           |   N   |
|   Target: $stack58 = l10 + 1                                                                        |       |
| Source: if l1 == 6 goto return 30                                                                   |   Y   |
|   Target: if l1 == 9 goto return 30                                                                 |       |
| Source: if $stack144 != 45 goto $stack145 = 0                                                       |   N   |
|   Target: $stack145 = 1                                                                             |       |
| Source: if $stack1 != 0 goto $stack3 = 1                                                            |   N   |
|   Target: $stack3 = 1                                                                               |       |
| Source: if l4 <= 255 goto $stack11 = virtualinvoke l3.<java.lang.String: int length()>()            |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l1 == null goto return l0                                                                |   N   |
|   Target: return l0                                                                                 |       |
| Source: if l1 != null goto $stack5 = virtualinvoke l0.<java.lang.Object: java.lang.Class getClas... |   Y   |
|   Target: l3 = l2                                                                                   |       |
| Source: if l0 == null goto return 0                                                                 |   Y   |
|   Target: if l1 != null goto $stack4 = interfaceinvoke l0.<java.lang.CharSequence: int length()...  |       |
| Source: if l2 >= 10 goto virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder... |   N   |
|   Target: virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>...  |       |
| Source: if $stack12 != null goto l3 = l3 + -1                                                       |   Y   |
|   Target: l3 = l3 + -1                                                                              |       |
| Source: if $stack21 != $stack22 goto l8 = l8 + 1                                                    |   N   |
|   Target: l8 = l8 + 1                                                                               |       |
| Source: if l0 != null goto $stack2 = virtualinvoke l0.<java.lang.String: int length()>()            |   N   |
|   Target: $stack2 = virtualinvoke l0.<java.lang.String: int length()>()                             |       |
| Source: if l4 >= 0 goto (branch)                                                                    |   Y   |
|   Target: l4 = l4 + 100                                                                             |       |
| Source: if l1 < 1 goto $stack5 = new java.lang.IllegalArgumentException                             |   Y   |
|   Target: if l1 <= 12 goto (branch)                                                                 |       |
| Source: if l0 >= 128 goto $stack1 = 0                                                               |   N   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack13 != l7 goto l8 = l8 + 1                                                          |   Y   |
|   Target: l8 = l8 + 1                                                                               |       |
| Source: if $stack48 == 0 goto $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfin... |   N   |
|   Target: $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfinite()>()                |       |
| Source: if l4 != 0 goto l3 = l3 + 1                                                                 |   N   |
|   Target: l3 = l3 + 1                                                                               |       |
| Source: if l2 <= 31 goto $stack10 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks... |   Y   |
|   Target: $stack8 = new java.lang.IllegalArgumentException                                          |       |
| Source: if l8 != 63 goto (branch)                                                                   |   N   |
|   Target: virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>("?")          |       |
| Source: if $stack138 == 0 goto l7 = l7 + 1                                                          |   N   |
|   Target: $stack141 = virtualinvoke l8.<java.lang.String: int length()>()                           |       |
| Source: if $stack4 != 46 goto $stack5 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)    |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l6 > 8 goto $stack123 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: ja... |   N   |
|   Target: if l6 != 8 goto $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks...  |       |
| Source: if l2 != 10 goto (branch)                                                                   |   N   |
|   Target: $stack11 = l1#2 - 1                                                                       |       |
| Source: if l10 <= -1 goto l8 = null                                                                 |   N   |
|   Target: l8 = null                                                                                 |       |
| Source: if $stack3 == 0 goto l1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()       |   Y   |
|   Target: l1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                          |       |
| Source: if l0 != null goto $stack1 = staticinvoke <comp5111.assignment.cut.Subject$FilenameTasks... |   Y   |
|   Target: $stack1 = staticinvoke <comp5111.assignment.cut.Subject$FilenameTasks: java.lang.Stri...  |       |
| Source: if $stack6 == 0 goto $stack7 = 28                                                           |   Y   |
|   Target: $stack7 = 29                                                                              |       |
| Source: if $stack7 != 1 goto $stack8 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks... |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l10 <= -1 goto l8 = null                                                                 |   N   |
|   Target: $stack90 = l2 - 1                                                                         |       |
| Source: if $stack68 != 45 goto $stack66 = staticinvoke <comp5111.assignment.cut.Subject$NumberTa... |   N   |
|   Target: $stack66 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isDigit...  |       |
| Source: if $stack4 == 0 goto (branch)                                                               |   Y   |
|   Target: if l2 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substr...  |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Long: java.lang.Long decode(java.la... |   N   |
|   Target: return null                                                                               |       |
| Source: if $stack1 != 0 goto $stack2 = 0                                                            |   Y   |
|   Target: $stack2 = 0                                                                               |       |
| Source: if l0 != null goto $stack9 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()       |   Y   |
|   Target: $stack9 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()                        |       |
| Source: if $stack119 == 0 goto $stack110 = l2                                                       |   N   |
|   Target: $stack110 = l2                                                                            |       |
| Source: if l0 != 92 goto $stack1 = 0                                                                |   N   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if l0 != 7 goto (branch)                                                                    |   Y   |
|   Target: return 12                                                                                 |       |
| Source: if $stack1 != 0 goto $stack2 = 0                                                            |   Y   |
|   Target: $stack2 = 1                                                                               |       |
| Source: if l5 != 1 goto $stack25 = new java.lang.String                                             |   Y   |
|   Target: $stack25 = new java.lang.String                                                           |       |
| Source: if $stack12 == 0 goto $stack13 = virtualinvoke l0.<java.lang.String: boolean startsWith(... |   Y   |
|   Target: $stack13 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String,in...  |       |
| Source: if l0 != null goto $stack15 = staticinvoke <comp5111.assignment.cut.Subject$StringTasks:... |   Y   |
|   Target: $stack15 = staticinvoke <comp5111.assignment.cut.Subject$StringTasks: boolean isBlank...  |       |
| Source: if $stack24 == 0 goto $stack19 = virtualinvoke l6.<java.lang.String: int length()>()        |   N   |
|   Target: $stack27 = staticinvoke <comp5111.assignment.cut.Subject$FilenameTasks: boolean isIPv...  |       |
| Source: if l2 >= 0 goto $stack4 = lengthof l0                                                       |   Y   |
|   Target: $stack4 = lengthof l0                                                                     |       |
| Source: if l0 != null goto $stack9 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()       |   N   |
|   Target: return null                                                                               |       |
| Source: if l1 != 10 goto return l0                                                                  |   N   |
|   Target: return ""                                                                                 |       |
| Source: if l0 <= 1900 goto $stack1 = l0 & 3                                                         |   Y   |
|   Target: if l0 >= 2100 goto $stack1 = l0 & 3                                                       |       |
| Source: if $stack11 == 0 goto l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(... |   N   |
|   Target: $stack41 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>(":...  |       |
| Source: if $stack30 != 0 goto (branch)                                                              |   N   |
|   Target: $stack32 = virtualinvoke l13#69.<java.lang.Double: double doubleValue()>()                |       |
| Source: if l8 >= l3 goto l6 = l6 + 1                                                                |   Y   |
|   Target: $stack15 = l1[l8]                                                                         |       |
| Source: if l1 == 0 goto $stack8 = 0                                                                 |   N   |
|   Target: if l2 == 0 goto $stack8 = 0                                                               |       |
| Source: if l6 >= $stack15 goto $stack16 = new java.lang.String                                      |   Y   |
|   Target: $stack16 = new java.lang.String                                                           |       |
| Source: if $stack71 != 0 goto $stack67 = staticinvoke <comp5111.assignment.cut.Subject$NumberTas... |   N   |
|   Target: $stack66 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isDigit...  |       |
| Source: if l0 > 90 goto $stack1 = 0                                                                 |   N   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if $stack32 != -1 goto l1 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()     |   Y   |
|   Target: $stack39 = newarray (java.lang.String)[1]                                                 |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Integer: java.lang.Integer decode(j... |   Y   |
|   Target: $stack1 = staticinvoke <java.lang.Integer: java.lang.Integer decode(java.lang.String)...  |       |
| Source: if l9 <= -1 goto (branch)                                                                   |   N   |
|   Target: if l10 <= -1 goto $stack107 = l9 + 1                                                      |       |
| Source: if $stack2 == 0 goto $stack4 = 0                                                            |   N   |
|   Target: $stack4 = 0                                                                               |       |
| Source: if l1 == 0 goto $stack10 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.l... |   N   |
|   Target: $stack49 = virtualinvoke l0.<java.lang.String: int indexOf(java.lang.String)>("::")       |       |
| Source: if $stack15 == 0 goto $stack16 = newarray (java.lang.String)[3]                             |   Y   |
|   Target: $stack151 = new java.lang.NumberFormatException                                           |       |
| Source: if l8 == 63 goto $stack20 = virtualinvoke $stack12.<java.lang.StringBuilder: int length(... |   N   |
|   Target: $stack20 = virtualinvoke $stack12.<java.lang.StringBuilder: int length()>()               |       |
| Source: if l1 != null goto $stack4 = virtualinvoke l1.<java.lang.String: boolean isEmpty()>()       |   Y   |
|   Target: $stack4 = virtualinvoke l1.<java.lang.String: boolean isEmpty()>()                        |       |
| Source: if l2 == 0 goto $stack9 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(... |   N   |
|   Target: return 1                                                                                  |       |
| Source: if l0 != null goto $stack1 = staticinvoke <comp5111.assignment.cut.Subject$StringTasks: ... |   Y   |
|   Target: $stack1 = staticinvoke <comp5111.assignment.cut.Subject$StringTasks: boolean isBlank(...  |       |
| Source: if $stack49 == $stack50 goto $stack10 = virtualinvoke l0.<java.lang.String: boolean star... |   N   |
|   Target: $stack10 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String)>(...  |       |
| Source: if l4 == 42 goto l4 = l8                                                                    |   N   |
|   Target: virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>("*")          |       |
| Source: if l4 <= 0 goto $stack19 = l2 - 1                                                           |   N   |
|   Target: l5#11 = 0                                                                                 |       |
| Source: if l8 != null goto $stack62 = new java.lang.NumberFormatException                           |   N   |
|   Target: $stack65 = virtualinvoke l12.<java.lang.String: boolean isEmpty()>()                      |       |
| Source: if $stack9 != 13 goto return l3                                                             |   N   |
|   Target: $stack11 = l2 - 1                                                                         |       |
| Source: if l5#11 == 48 goto l4 = l4 + 1                                                             |   N   |
|   Target: l4 = l4 + 1                                                                               |       |
| Source: if l1 == 0 goto $stack25 = new java.lang.String                                             |   Y   |
|   Target: $stack25 = new java.lang.String                                                           |       |
| Source: if $stack36 != 0 goto $stack32 = <comp5111.assignment.cut.Subject$FilenameTasks: java.la... |   N   |
|   Target: interfaceinvoke $stack28.<java.util.List: java.lang.Object remove(int)>(0)                |       |
| Source: if l2 <= $stack9 goto return                                                                |   Y   |
|   Target: return                                                                                    |       |
| Source: if l1 == 0 goto $stack8 = 0                                                                 |   Y   |
|   Target: $stack8 = 0                                                                               |       |
| Source: if $stack84 == 0 goto (branch)                                                              |   N   |
|   Target: goto [?= l13#69 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lan...  |       |
| Source: if $stack7 != 0 goto $stack8 = 0                                                            |   N   |
|   Target: $stack8 = 1                                                                               |       |
| Source: if $stack3 == 48 goto l1 = l1 + -1                                                          |   N   |
|   Target: l1 = l1 + -1                                                                              |       |
| Source: if l1 == 0 goto $stack25 = new java.lang.String                                             |   Y   |
|   Target: if l7 != 2 goto $stack25 = new java.lang.String                                           |       |
| Source: if $stack18 == 43 goto $stack145 = 1                                                        |   Y   |
|   Target: $stack144 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)                      |       |
| Source: if l0 == 47 goto $stack1 = 1                                                                |   N   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if $stack5 != 0 goto l2 = l2 + 1                                                            |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l8 != null goto l12#81 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: j... |   N   |
|   Target: $stack54 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Integ...  |       |
| Source: if $stack31 == 0 goto $stack32 = <comp5111.assignment.cut.Subject$FilenameTasks: java.la... |   N   |
|   Target: $stack32 = <comp5111.assignment.cut.Subject$FilenameTasks: java.lang.String[] EMPTY_S...  |       |
| Source: if l2 == 45 goto $stack7 = 1                                                                |   Y   |
|   Target: if l2 != 43 goto $stack7 = 0                                                              |       |
| Source: if $stack6 == 0 goto $stack8 = <comp5111.assignment.cut.Subject$FilenameTasks: java.util... |   Y   |
|   Target: $stack8 = <comp5111.assignment.cut.Subject$FilenameTasks: java.util.regex.Pattern REG...  |       |
| Source: if l2 >= 0 goto $stack4 = lengthof l0                                                       |   Y   |
|   Target: return -1                                                                                 |       |
| Source: if l2 > 4 goto return 1                                                                     |   N   |
|   Target: return 1                                                                                  |       |
| Source: if l0 != 3 goto (branch)                                                                    |   Y   |
|   Target: if l0 != 4 goto (branch)                                                                  |       |
| Source: if l0 != 127 goto $stack1 = 0                                                               |   N   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if l0 <= 1900 goto $stack1 = l0 & 3                                                         |   Y   |
|   Target: $stack1 = l0 & 3                                                                          |       |
| Source: if l1 == null goto return l0                                                                |   Y   |
|   Target: if l2 != null goto l3 = virtualinvoke l0.<java.lang.String: int indexOf(java.lang.Str...  |       |
| Source: if $stack25 != 0 goto $stack119 = 0                                                         |   N   |
|   Target: $stack119 = 0                                                                             |       |
| Source: if $stack84 == 0 goto (branch)                                                              |   N   |
|   Target: return l13#63                                                                             |       |
| Source: if l1 != 10 goto return l0                                                                  |   Y   |
|   Target: return l0                                                                                 |       |
| Source: if l3 == 0 goto $stack11 = $stack9                                                          |   N   |
|   Target: $stack11 = $stack9                                                                        |       |
| Source: if l2 >= l1 goto return 1                                                                   |   Y   |
|   Target: $stack5 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l2)               |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Long: java.lang.Long decode(java.la... |   Y   |
|   Target: $stack1 = staticinvoke <java.lang.Long: java.lang.Long decode(java.lang.String)>(l0)      |       |
| Source: if $stack13 == 0 goto $stack14 = <comp5111.assignment.cut.Subject$FilenameTasks: java.la... |   N   |
|   Target: $stack17 = virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.String toString...  |       |
| Source: if $stack119 == 0 goto $stack101 = l2                                                       |   N   |
|   Target: $stack101 = l2                                                                            |       |
| Source: if $stack6 != 46 goto $stack13 = 0                                                          |   Y   |
|   Target: $stack13 = 0                                                                              |       |
| Source: if l0 != 92 goto $stack1 = new java.lang.IllegalArgumentException                           |   N   |
|   Target: return 47                                                                                 |       |
| Source: if l10 <= l2 goto $stack116 = l9 + 1                                                        |   N   |
|   Target: $stack116 = l9 + 1                                                                        |       |
| Source: if l0 == null goto $stack2 = l1                                                             |   N   |
|   Target: $stack2 = l1                                                                              |       |
| Source: if $stack3 == 0 goto $stack4 = virtualinvoke l0.<java.lang.String: int length()>()          |   Y   |
|   Target: $stack4 = virtualinvoke l0.<java.lang.String: int length()>()                             |       |
| Source: if $stack10 != 0 goto l2 = l2 + 1                                                           |   Y   |
|   Target: l2 = l2 + 1                                                                               |       |
| Source: if l0 == 47 goto $stack1 = 1                                                                |   Y   |
|   Target: if l0 != 92 goto $stack1 = 0                                                              |       |
| Source: if $stack1 != 0 goto $stack3 = 1                                                            |   Y   |
|   Target: $stack2 = staticinvoke <comp5111.assignment.cut.Subject$CharTasks: boolean isAsciiAlp...  |       |
| Source: if $stack18 != 0 goto (branch)                                                              |   N   |
|   Target: if l8 != l5 goto (branch)                                                                 |       |
| Source: if l0 == null goto $stack1 = 0                                                              |   Y   |
|   Target: $stack1 = staticinvoke <java.lang.reflect.Array: int getLength(java.lang.Object)>(l0)     |       |
| Source: if $stack66 == 0 goto $stack62 = new java.lang.NumberFormatException                        |   N   |
|   Target: $stack67 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Long ...  |       |
| Source: if l5#11 <= 55 goto $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTask... |   N   |
|   Target: $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Inte...  |       |
| Source: if l1 == 9 goto return 30                                                                   |   Y   |
|   Target: if l1 != 11 goto (branch)                                                                 |       |
| Source: if $stack20 == 0 goto (branch)                                                              |   N   |
|   Target: $stack26 = virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.String toString...  |       |
| Source: if $stack83 != 0 goto return l13#63                                                         |   N   |
|   Target: $stack84 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isZero(...  |       |
| Source: if $stack3 == 0 goto $stack4 = 0                                                            |   N   |
|   Target: $stack4 = 1                                                                               |       |
| Source: if $stack6 == 0 goto $stack7 = 28                                                           |   N   |
|   Target: $stack7 = 28                                                                              |       |
| Source: if $stack74 != 0 goto (branch)                                                              |   N   |
|   Target: $stack82 = virtualinvoke l13#63.<java.lang.Float: float floatValue()>()                   |       |
| Source: if $stack21 != $stack22 goto l8 = l8 + 1                                                    |   N   |
|   Target: return 1                                                                                  |       |
| Source: if $stack9 != 13 goto return l3                                                             |   N   |
|   Target: return l3                                                                                 |       |
| Source: if l1 == 0 goto $stack15 = 0                                                                |   N   |
|   Target: $stack15 = 1                                                                              |       |
| Source: if l0 != null goto $stack2 = virtualinvoke l0.<java.lang.String: int length()>()            |   N   |
|   Target: return 1                                                                                  |       |
| Source: if $stack5 != 45 goto $stack6 = staticinvoke <comp5111.assignment.cut.Subject$NumberTask... |   N   |
|   Target: $stack7 = virtualinvoke l0.<java.lang.String: int length()>()                             |       |
| Source: if $stack10 != 0 goto l3 = l3 + 1                                                           |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l4 >= l3 goto (branch)                                                                   |   Y   |
|   Target: if l1 == 0 goto $stack8 = 0                                                               |       |
| Source: if $stack37 != 0 goto return l14                                                            |   N   |
|   Target: return l14                                                                                |       |
| Source: if $stack7 == 0 goto return -1                                                              |   Y   |
|   Target: l3 = l2                                                                                   |       |
| Source: if l1 != null goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()         |   Y   |
|   Target: return 1                                                                                  |       |
| Source: if l6 >= l2 goto return 1                                                                   |   Y   |
|   Target: return 1                                                                                  |       |
| Source: if l0 == null goto return -1                                                                |   Y   |
|   Target: if l2 >= 0 goto $stack4 = lengthof l0                                                     |       |
| Source: if $stack7 != 1 goto $stack8 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks... |   N   |
|   Target: $stack8 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean withDeci...  |       |
| Source: if $stack15 != l7 goto l8 = l8 + 1                                                          |   Y   |
|   Target: l8 = l8 + 1                                                                               |       |
| Source: if l5 != $stack18 goto $stack19 = virtualinvoke l6.<java.lang.String: int length()>()       |   N   |
|   Target: $stack19 = virtualinvoke l6.<java.lang.String: int length()>()                            |       |
| Source: if l6 >= l2 goto l6 = l2 - l4                                                               |   N   |
|   Target: l6 = l2 - l4                                                                              |       |
| Source: if $stack6 != 1 goto l1 = 0                                                                 |   Y   |
|   Target: l1 = 0                                                                                    |       |
| Source: if l4 != 45 goto (branch)                                                                   |   N   |
|   Target: l3 = 1                                                                                    |       |
| Source: if l4 != 0 goto l3 = l3 + 1                                                                 |   Y   |
|   Target: $stack9 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l3)                       |       |
| Source: if l7 <= 65535 goto l3#27 = l3#27 + 1                                                       |   N   |
|   Target: l3#27 = l3#27 + 1                                                                         |       |
| Source: if l6 >= l2 goto l6 = l2 - l4                                                               |   N   |
|   Target: l5#11 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l6)                         |       |
| Source: if l10 >= $stack90 goto l8 = null                                                           |   N   |
|   Target: l8 = null                                                                                 |       |
| Source: if $stack27 != 0 goto l3#27 = l3#27 + 2                                                     |   N   |
|   Target: return 0                                                                                  |       |
| Source: if $stack79 != 0 goto return l13#69                                                         |   N   |
|   Target: return l13#69                                                                             |       |
| Source: if l0 < 32 goto $stack1 = 1                                                                 |   Y   |
|   Target: if l0 != 127 goto $stack1 = 0                                                             |       |
| Source: if l1 > 2 goto l6 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l5, 4)             |   Y   |
|   Target: l6 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l5, 4)                          |       |
| Source: if $stack6 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()       |   N   |
|   Target: l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                          |       |
| Source: if l1 == 5 goto return 31                                                                   |   Y   |
|   Target: if l1 == 7 goto return 31                                                                 |       |
| Source: if $stack15 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String sub... |   N   |
|   Target: l2 = l2 + -1                                                                              |       |
| Source: if l5#11 == 48 goto l4 = l4 + 1                                                             |   N   |
|   Target: goto [?= l6 = l2 - l4]                                                                    |       |
| Source: if $stack11 == 0 goto l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(... |   Y   |
|   Target: l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(java.lang.String)>(...  |       |
| Source: if $stack3 != 0 goto $stack4 = 0                                                            |   N   |
|   Target: $stack4 = 0                                                                               |       |
| Source: if l7 < 0 goto return 0                                                                     |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l0 < 97 goto $stack1 = 0                                                                 |   Y   |
|   Target: if l0 > 122 goto $stack1 = 0                                                              |       |
| Source: if l7 != 2 goto $stack25 = new java.lang.String                                             |   Y   |
|   Target: $stack25 = new java.lang.String                                                           |       |
| Source: if l4 <= 1 goto l3#27 = l3#27 + 1                                                           |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l10 < l9 goto $stack114 = new java.lang.NumberFormatException                            |   N   |
|   Target: if l10 <= l2 goto $stack116 = l9 + 1                                                      |       |
| Source: if $stack8 == 4 goto l2 = 1                                                                 |   N   |
|   Target: l2 = 1                                                                                    |       |
| Source: if l1 >= 2 goto l2 = l1 - 1                                                                 |   Y   |
|   Target: l2 = l1 - 1                                                                               |       |
| Source: if $stack1 == 0 goto $stack2 = new java.math.BigDecimal                                     |   Y   |
|   Target: $stack3 = new java.lang.NumberFormatException                                             |       |
| Source: if l10 <= -1 goto $stack107 = l9 + 1                                                        |   N   |
|   Target: $stack107 = l9 + 1                                                                        |       |
| Source: if l0 != 12 goto $stack1 = new java.lang.IllegalArgumentException                           |   Y   |
|   Target: return 25                                                                                 |       |
| Source: if l7 != l5 goto (branch)                                                                   |   Y   |
|   Target: goto [?= l6 = l6 + 1]                                                                     |       |
| Source: if l0 == 0 goto $stack2 = -1                                                                |   Y   |
|   Target: $stack2 = -1                                                                              |       |
| Source: if l8 >= l4 goto l6 = l6 + 1                                                                |   Y   |
|   Target: l6 = l6 + 1                                                                               |       |
| Source: if l1 >= 10 goto virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder... |   Y   |
|   Target: virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>...  |       |
| Source: if $stack6 != 0 goto l2 = l2 + 1                                                            |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l2 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring... |   N   |
|   Target: $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0,...  |       |
| Source: if $stack119 == 0 goto $stack110 = l2                                                       |   N   |
|   Target: $stack110 = l2 - 1                                                                        |       |
| Source: if l5 != $stack18 goto $stack19 = virtualinvoke l6.<java.lang.String: int length()>()       |   Y   |
|   Target: $stack24 = virtualinvoke l6.<java.lang.String: boolean contains(java.lang.CharSequenc...  |       |
| Source: if l6 >= l3 goto l8 = l8 + 1                                                                |   N   |
|   Target: $stack17 = l8 + 1                                                                         |       |
| Source: if l0 >= 127 goto $stack1 = 0                                                               |   N   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if l3 < 0 goto (branch)                                                                     |   Y   |
|   Target: goto [?= return -1]                                                                       |       |
| Source: if l2 != 0 goto (branch)                                                                    |   Y   |
|   Target: return l0                                                                                 |       |
| Source: if l0 != null goto l1 = virtualinvoke l0.<java.lang.String: int lastIndexOf(int)>(47)       |   N   |
|   Target: return -1                                                                                 |       |
| Source: if l2 < $stack4 goto (branch)                                                               |   Y   |
|   Target: if l1 != null goto $stack5 = virtualinvoke l0.<java.lang.Object: java.lang.Class getC...  |       |
| Source: if l0 != 6 goto (branch)                                                                    |   Y   |
|   Target: if l0 != 7 goto (branch)                                                                  |       |
| Source: if l4 != 45 goto (branch)                                                                   |   Y   |
|   Target: if l4 != 43 goto $stack8 = virtualinvoke l0.<java.lang.String: boolean startsWith(jav...  |       |
| Source: if $stack15 != l7 goto l8 = l8 + 1                                                          |   N   |
|   Target: $stack18 = staticinvoke <java.lang.Character: boolean isHighSurrogate(char)>(l7)          |       |
| Source: if l1 == 0 goto $stack15 = 0                                                                |   Y   |
|   Target: $stack15 = 0                                                                              |       |
| Source: if l0 != 2 goto (branch)                                                                    |   N   |
|   Target: return 31                                                                                 |       |
| Source: if $stack13 <= 8 goto l3#27 = 0                                                             |   Y   |
|   Target: l3#27 = 0                                                                                 |       |
| Source: if l10 < l9 goto $stack114 = new java.lang.NumberFormatException                            |   N   |
|   Target: $stack114 = new java.lang.NumberFormatException                                           |       |
| Source: if l0 != l1 goto (branch)                                                                   |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l2 < 1 goto $stack8 = new java.lang.IllegalArgumentException                             |   Y   |
|   Target: $stack8 = new java.lang.IllegalArgumentException                                          |       |
| Source: if l2 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring... |   N   |
|   Target: $stack13 = l2 - 1                                                                         |       |
| Source: if l0 != null goto $stack15 = staticinvoke <comp5111.assignment.cut.Subject$StringTasks:... |   N   |
|   Target: return null                                                                               |       |
| Source: if $stack10 != 0 goto l3 = l3 + 1                                                           |   N   |
|   Target: l3 = l3 + 1                                                                               |       |
